Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46322,,,,,,11229,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46323,,,,,,11229,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46324,,,,,,11229,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46325,,,,,,11229,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46318,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46319,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46320,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46321,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46322,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46323,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46324,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46325,,,,,,11125,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46318,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46319,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46320,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46321,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46322,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46323,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46324,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,,6263283,,1,,,,False,500,10,True,0,0,285,0,0,0,,,False,False,,,,46325,,,,,,11352,0,1488153,,,,,0,,,,0,0,,True,False,0,0,0,,,,,,,
